,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:29:00,1.1666666666666667,2.8333333333333335,-2.033333333333333,-3.466666666666667,3.933333333333333,-0.9333333333333333,-2.7,0.5666666666666667,-2.566666666666667,-0.2,-1.1333333333333333,-2.6
2020-09-23 14:30:00,1.032258064516129,2.838709677419355,-2.032258064516129,-3.5483870967741935,4.0,-1.032258064516129,-2.6451612903225805,0.4838709677419355,-2.6774193548387095,-0.3225806451612903,-1.2903225806451613,-2.774193548387097
2020-09-23 14:31:00,0.90625,2.8125,-2.0625,-3.59375,4.09375,-1.09375,-2.59375,0.4375,-2.8125,-0.4375,-1.4375,-2.96875
2020-09-23 14:32:00,0.8181818181818182,2.787878787878788,-2.121212121212121,-3.6666666666666665,4.181818181818182,-1.1818181818181819,-2.5454545454545454,0.3939393939393939,-2.9696969696969697,-0.5151515151515151,-1.5757575757575757,-3.1818181818181817
2020-09-23 14:33:00,0.7352941176470589,2.764705882352941,-2.2058823529411766,-3.764705882352941,4.264705882352941,-1.2647058823529411,-2.5294117647058822,0.3235294117647059,-3.1176470588235294,-0.5882352941176471,-1.7352941176470589,-3.3823529411764706
2020-09-23 14:34:00,0.6571428571428571,2.742857142857143,-2.3142857142857145,-3.857142857142857,4.314285714285714,-1.3142857142857143,-2.5142857142857142,0.2857142857142857,-3.2285714285714286,-0.6857142857142857,-1.8571428571428572,-3.6
2020-09-23 14:35:00,0.5833333333333334,2.75,-2.4166666666666665,-3.9444444444444446,4.361111111111111,-1.3611111111111112,-2.5,0.2222222222222222,-3.3055555555555554,-0.7777777777777778,-1.9722222222222223,-3.8333333333333335
2020-09-23 14:36:00,0.4864864864864865,2.7567567567567566,-2.5135135135135136,-4.027027027027027,4.378378378378378,-1.3783783783783783,-2.5135135135135136,0.13513513513513514,-3.4054054054054053,-0.8648648648648649,-2.081081081081081,-4.054054054054054
2020-09-23 14:37:00,0.39473684210526316,2.736842105263158,-2.6315789473684212,-4.105263157894737,4.368421052631579,-1.394736842105263,-2.526315789473684,0.05263157894736842,-3.473684210526316,-0.9210526315789473,-2.1578947368421053,-4.2631578947368425
2020-09-23 14:38:00,0.3076923076923077,2.717948717948718,-2.717948717948718,-4.17948717948718,4.333333333333333,-1.4102564102564104,-2.5641025641025643,0.0,-3.5128205128205128,-0.9743589743589743,-2.2051282051282053,-4.487179487179487
2020-09-23 14:39:00,0.225,2.675,-2.8,-4.275,4.325,-1.425,-2.575,-0.05,-3.575,-1.0,-2.25,-4.725
2020-09-23 14:40:00,0.17073170731707318,2.6097560975609757,-2.902439024390244,-4.341463414634147,4.341463414634147,-1.4146341463414633,-2.5853658536585367,-0.0975609756097561,-3.658536585365854,-1.024390243902439,-2.317073170731707,-4.951219512195122
2020-09-23 14:41:00,0.11904761904761904,2.5476190476190474,-3.0,-4.380952380952381,4.333333333333333,-1.4047619047619047,-2.619047619047619,-0.11904761904761904,-3.761904761904762,-1.0476190476190477,-2.357142857142857,-5.166666666666667
2020-09-23 14:42:00,0.046511627906976744,2.488372093023256,-3.0697674418604652,-4.395348837209302,4.3023255813953485,-1.4186046511627908,-2.6511627906976742,-0.13953488372093023,-3.883720930232558,-1.069767441860465,-2.395348837209302,-5.395348837209302
2020-09-23 14:43:00,-0.022727272727272728,2.409090909090909,-3.159090909090909,-4.409090909090909,4.2727272727272725,-1.4318181818181819,-2.659090909090909,-0.18181818181818182,-4.0,-1.0909090909090908,-2.409090909090909,-5.590909090909091
2020-09-23 14:44:00,-0.06666666666666667,2.3333333333333335,-3.2666666666666666,-4.444444444444445,4.2444444444444445,-1.4222222222222223,-2.6666666666666665,-0.24444444444444444,-4.111111111111111,-1.1111111111111112,-2.4444444444444446,-5.7555555555555555
2020-09-23 14:45:00,-0.15555555555555556,2.2888888888888888,-3.422222222222222,-4.6,4.266666666666667,-1.4666666666666666,-2.7111111111111112,-0.3333333333333333,-4.333333333333333,-1.1555555555555554,-2.577777777777778,-6.066666666666666
2020-09-23 14:46:00,-0.26666666666666666,2.2,-3.5555555555555554,-4.7555555555555555,4.266666666666667,-1.4666666666666666,-2.7111111111111112,-0.4,-4.533333333333333,-1.2,-2.7333333333333334,-6.377777777777778
2020-09-23 14:47:00,-0.37777777777777777,2.111111111111111,-3.6666666666666665,-4.933333333333334,4.266666666666667,-1.4666666666666666,-2.688888888888889,-0.4888888888888889,-4.733333333333333,-1.2444444444444445,-2.911111111111111,-6.688888888888889
2020-09-23 14:48:00,-0.4888888888888889,2.022222222222222,-3.7333333333333334,-5.111111111111111,4.266666666666667,-1.488888888888889,-2.6222222222222222,-0.5777777777777777,-4.933333333333334,-1.288888888888889,-3.088888888888889,-7.022222222222222
2020-09-23 14:49:00,-0.6444444444444445,1.9111111111111112,-3.8,-5.2444444444444445,4.2444444444444445,-1.511111111111111,-2.5555555555555554,-0.6666666666666666,-5.133333333333334,-1.3111111111111111,-3.2666666666666666,-7.333333333333333
2020-09-23 14:50:00,-0.7555555555555555,1.7777777777777777,-3.911111111111111,-5.355555555555555,4.2444444444444445,-1.5555555555555556,-2.511111111111111,-0.7111111111111111,-5.333333333333333,-1.3111111111111111,-3.488888888888889,-7.666666666666667
2020-09-23 14:51:00,-0.8666666666666667,1.6,-4.0,-5.444444444444445,4.222222222222222,-1.5555555555555556,-2.488888888888889,-0.7777777777777778,-5.555555555555555,-1.3555555555555556,-3.7555555555555555,-8.022222222222222
2020-09-23 14:52:00,-1.0,1.4222222222222223,-4.111111111111111,-5.5777777777777775,4.2,-1.5777777777777777,-2.4444444444444446,-0.8444444444444444,-5.822222222222222,-1.4444444444444444,-4.022222222222222,-8.333333333333334
2020-09-23 14:53:00,-1.1111111111111112,1.2666666666666666,-4.266666666666667,-5.711111111111111,4.222222222222222,-1.6,-2.4444444444444446,-0.9111111111111111,-6.066666666666666,-1.5555555555555556,-4.311111111111111,-8.666666666666666
2020-09-23 14:54:00,-1.2222222222222223,1.1111111111111112,-4.444444444444445,-5.866666666666666,4.288888888888889,-1.6222222222222222,-2.466666666666667,-0.9777777777777777,-6.311111111111111,-1.6666666666666667,-4.6,-9.022222222222222
2020-09-23 14:55:00,-1.288888888888889,0.9555555555555556,-4.644444444444445,-6.044444444444444,4.355555555555555,-1.6444444444444444,-2.488888888888889,-1.0666666666666667,-6.533333333333333,-1.7333333333333334,-4.911111111111111,-9.333333333333334
2020-09-23 14:56:00,-1.3555555555555556,0.8,-4.888888888888889,-6.222222222222222,4.4,-1.6666666666666667,-2.511111111111111,-1.1111111111111112,-6.777777777777778,-1.8222222222222222,-5.2444444444444445,-9.688888888888888
2020-09-23 14:57:00,-1.4,0.6444444444444445,-5.177777777777778,-6.355555555555555,4.444444444444445,-1.6666666666666667,-2.488888888888889,-1.1555555555555554,-7.066666666666666,-1.9333333333333333,-5.6,-10.066666666666666
2020-09-23 14:58:00,-1.4444444444444444,0.4888888888888889,-5.488888888888889,-6.488888888888889,4.466666666666667,-1.6888888888888889,-2.466666666666667,-1.2444444444444445,-7.355555555555555,-2.022222222222222,-5.955555555555556,-10.466666666666667
2020-09-23 14:59:00,-1.488888888888889,0.35555555555555557,-5.822222222222222,-6.644444444444445,4.488888888888889,-1.6888888888888889,-2.422222222222222,-1.3111111111111111,-7.622222222222222,-2.111111111111111,-6.311111111111111,-10.88888888888889
2020-09-23 15:00:00,-1.511111111111111,0.24444444444444444,-6.177777777777778,-6.822222222222222,4.555555555555555,-1.7333333333333334,-2.422222222222222,-1.4,-7.911111111111111,-2.2,-6.666666666666667,-11.28888888888889
2020-09-23 15:01:00,-1.511111111111111,0.15555555555555556,-6.488888888888889,-6.955555555555556,4.622222222222222,-1.7555555555555555,-2.4,-1.4666666666666666,-8.2,-2.311111111111111,-7.0,-11.666666666666666
2020-09-23 15:02:00,-1.5333333333333334,0.08888888888888889,-6.777777777777778,-7.044444444444444,4.666666666666667,-1.7777777777777777,-2.3777777777777778,-1.488888888888889,-8.488888888888889,-2.422222222222222,-7.311111111111111,-12.0
2020-09-23 15:03:00,-1.6,0.044444444444444446,-7.066666666666666,-7.177777777777778,4.7555555555555555,-1.8222222222222222,-2.3555555555555556,-1.4666666666666666,-8.755555555555556,-2.488888888888889,-7.622222222222222,-12.333333333333334
2020-09-23 15:04:00,-1.6444444444444444,-0.022222222222222223,-7.355555555555555,-7.355555555555555,4.866666666666666,-1.8666666666666667,-2.2888888888888888,-1.4222222222222223,-9.044444444444444,-2.577777777777778,-7.911111111111111,-12.666666666666666
2020-09-23 15:05:00,-1.6666666666666667,-0.08888888888888889,-7.644444444444445,-7.511111111111111,4.977777777777778,-1.9111111111111112,-2.2444444444444445,-1.4222222222222223,-9.333333333333334,-2.688888888888889,-8.2,-12.977777777777778
2020-09-23 15:06:00,-1.6888888888888889,-0.17777777777777778,-7.888888888888889,-7.666666666666667,5.088888888888889,-1.9111111111111112,-2.1777777777777776,-1.4,-9.644444444444444,-2.8222222222222224,-8.466666666666667,-13.311111111111112
2020-09-23 15:07:00,-1.6888888888888889,-0.2222222222222222,-8.133333333333333,-7.777777777777778,5.2444444444444445,-1.9333333333333333,-2.088888888888889,-1.4,-9.955555555555556,-2.9555555555555557,-8.688888888888888,-13.644444444444444
2020-09-23 15:08:00,-1.6444444444444444,-0.24444444444444444,-8.333333333333334,-7.911111111111111,5.355555555555555,-1.9777777777777779,-2.0444444444444443,-1.4444444444444444,-10.244444444444444,-3.066666666666667,-8.88888888888889,-13.977777777777778
2020-09-23 15:09:00,-1.5777777777777777,-0.2222222222222222,-8.533333333333333,-8.0,5.466666666666667,-1.9777777777777779,-2.0,-1.4444444444444444,-10.555555555555555,-3.1333333333333333,-9.088888888888889,-14.28888888888889
2020-09-23 15:10:00,-1.488888888888889,-0.17777777777777778,-8.755555555555556,-8.11111111111111,5.533333333333333,-2.0,-1.9777777777777779,-1.4444444444444444,-10.911111111111111,-3.1555555555555554,-9.266666666666667,-14.577777777777778
2020-09-23 15:11:00,-1.3777777777777778,-0.13333333333333333,-8.933333333333334,-8.244444444444444,5.622222222222222,-2.0444444444444443,-1.9555555555555555,-1.4444444444444444,-11.244444444444444,-3.1777777777777776,-9.444444444444445,-14.866666666666667
2020-09-23 15:12:00,-1.3111111111111111,-0.044444444444444446,-9.155555555555555,-8.355555555555556,5.688888888888889,-2.066666666666667,-1.9111111111111112,-1.4222222222222223,-11.577777777777778,-3.2,-9.577777777777778,-15.133333333333333
2020-09-23 15:13:00,-1.2444444444444445,0.044444444444444446,-9.377777777777778,-8.488888888888889,5.733333333333333,-2.088888888888889,-1.9111111111111112,-1.4,-11.88888888888889,-3.2,-9.688888888888888,-15.377777777777778
2020-09-23 15:14:00,-1.1555555555555554,0.13333333333333333,-9.644444444444444,-8.6,5.777777777777778,-2.088888888888889,-1.9111111111111112,-1.3333333333333333,-12.222222222222221,-3.1777777777777776,-9.844444444444445,-15.622222222222222
2020-09-23 15:15:00,-1.0666666666666667,0.17777777777777778,-9.911111111111111,-8.71111111111111,5.822222222222222,-2.066666666666667,-1.8666666666666667,-1.288888888888889,-12.555555555555555,-3.1333333333333333,-10.022222222222222,-15.866666666666667
2020-09-23 15:16:00,-0.9555555555555556,0.24444444444444444,-10.155555555555555,-8.866666666666667,5.866666666666666,-2.0444444444444443,-1.8,-1.2444444444444445,-12.88888888888889,-3.066666666666667,-10.222222222222221,-16.066666666666666
2020-09-23 15:17:00,-0.8888888888888888,0.28888888888888886,-10.377777777777778,-9.0,5.933333333333334,-1.9777777777777779,-1.7555555555555555,-1.1777777777777778,-13.222222222222221,-3.022222222222222,-10.4,-16.266666666666666
2020-09-23 15:18:00,-0.8222222222222222,0.3333333333333333,-10.6,-9.11111111111111,6.0,-1.8888888888888888,-1.6666666666666667,-1.0888888888888888,-13.577777777777778,-2.9555555555555557,-10.577777777777778,-16.444444444444443
2020-09-23 15:19:00,-0.7333333333333333,0.4,-10.777777777777779,-9.2,6.088888888888889,-1.8444444444444446,-1.5555555555555556,-1.0444444444444445,-13.955555555555556,-2.8444444444444446,-10.777777777777779,-16.622222222222224
2020-09-23 15:20:00,-0.6222222222222222,0.4666666666666667,-10.977777777777778,-9.311111111111112,6.155555555555556,-1.8222222222222222,-1.4444444444444444,-1.0,-14.333333333333334,-2.7333333333333334,-10.955555555555556,-16.755555555555556
2020-09-23 15:21:00,-0.4666666666666667,0.5555555555555556,-11.2,-9.444444444444445,6.2444444444444445,-1.8,-1.288888888888889,-0.9333333333333333,-14.688888888888888,-2.6,-11.11111111111111,-16.88888888888889
2020-09-23 15:22:00,-0.28888888888888886,0.6888888888888889,-11.422222222222222,-9.6,6.355555555555555,-1.7555555555555555,-1.1333333333333333,-0.8888888888888888,-15.066666666666666,-2.488888888888889,-11.28888888888889,-17.022222222222222
2020-09-23 15:23:00,-0.13333333333333333,0.8222222222222222,-11.666666666666666,-9.733333333333333,6.488888888888889,-1.7333333333333334,-0.9777777777777777,-0.8888888888888888,-15.444444444444445,-2.3555555555555556,-11.466666666666667,-17.155555555555555
2020-09-23 15:24:00,0.022222222222222223,1.0,-11.911111111111111,-9.866666666666667,6.6,-1.7333333333333334,-0.8444444444444444,-0.8888888888888888,-15.777777777777779,-2.2222222222222223,-11.644444444444444,-17.244444444444444
2020-09-23 15:25:00,0.17777777777777778,1.2,-12.155555555555555,-10.022222222222222,6.666666666666667,-1.7555555555555555,-0.6888888888888889,-0.8888888888888888,-16.11111111111111,-2.066666666666667,-11.822222222222223,-17.31111111111111
2020-09-23 15:26:00,0.3111111111111111,1.4222222222222223,-12.422222222222222,-10.222222222222221,6.777777777777778,-1.7555555555555555,-0.5333333333333333,-0.8888888888888888,-16.444444444444443,-1.9333333333333333,-12.022222222222222,-17.4
2020-09-23 15:27:00,0.4444444444444444,1.6666666666666667,-12.688888888888888,-10.444444444444445,6.933333333333334,-1.7333333333333334,-0.37777777777777777,-0.8888888888888888,-16.77777777777778,-1.7777777777777777,-12.244444444444444,-17.466666666666665
2020-09-23 15:28:00,0.6,1.9555555555555555,-12.933333333333334,-10.644444444444444,7.088888888888889,-1.711111111111111,-0.26666666666666666,-0.8888888888888888,-17.08888888888889,-1.6444444444444444,-12.466666666666667,-17.57777777777778
2020-09-23 15:29:00,0.7111111111111111,2.2222222222222223,-13.155555555555555,-10.8,7.2444444444444445,-1.7333333333333334,-0.15555555555555556,-0.8888888888888888,-17.42222222222222,-1.5333333333333334,-12.688888888888888,-17.733333333333334
2020-09-23 15:30:00,0.8444444444444444,2.511111111111111,-13.422222222222222,-10.911111111111111,7.444444444444445,-1.7555555555555555,-0.06666666666666667,-0.9111111111111111,-17.733333333333334,-1.4222222222222223,-12.866666666666667,-17.88888888888889
2020-09-23 15:31:00,1.0,2.8,-13.71111111111111,-11.022222222222222,7.666666666666667,-1.8222222222222222,-0.022222222222222223,-0.9777777777777777,-18.066666666666666,-1.2666666666666666,-13.044444444444444,-18.066666666666666
2020-09-23 15:32:00,1.1555555555555554,3.088888888888889,-13.977777777777778,-11.088888888888889,7.844444444444444,-1.8888888888888888,0.022222222222222223,-1.0,-18.4,-1.1333333333333333,-13.177777777777777,-18.244444444444444
2020-09-23 15:33:00,1.3111111111111111,3.4,-14.244444444444444,-11.11111111111111,8.066666666666666,-1.9555555555555555,0.022222222222222223,-1.0444444444444445,-18.77777777777778,-0.9777777777777777,-13.28888888888889,-18.42222222222222
2020-09-23 15:34:00,1.488888888888889,3.7111111111111112,-14.511111111111111,-11.177777777777777,8.28888888888889,-2.0,0.044444444444444446,-1.1111111111111112,-19.133333333333333,-0.8666666666666667,-13.422222222222222,-18.6
2020-09-23 15:35:00,1.6666666666666667,4.066666666666666,-14.777777777777779,-11.28888888888889,8.511111111111111,-2.0444444444444443,0.044444444444444446,-1.1777777777777778,-19.511111111111113,-0.7555555555555555,-13.511111111111111,-18.77777777777778
2020-09-23 15:36:00,1.8222222222222222,4.4222222222222225,-15.022222222222222,-11.422222222222222,8.71111111111111,-2.1333333333333333,0.044444444444444446,-1.2444444444444445,-19.866666666666667,-0.6,-13.6,-18.933333333333334
2020-09-23 15:37:00,1.9777777777777779,4.777777777777778,-15.222222222222221,-11.511111111111111,8.933333333333334,-2.2,0.044444444444444446,-1.3555555555555556,-20.2,-0.4,-13.688888888888888,-19.08888888888889
2020-09-23 15:38:00,2.1555555555555554,5.111111111111111,-15.4,-11.622222222222222,9.133333333333333,-2.2444444444444445,0.044444444444444446,-1.4444444444444444,-20.555555555555557,-0.17777777777777778,-13.777777777777779,-19.22222222222222
2020-09-23 15:39:00,2.2888888888888888,5.4222222222222225,-15.6,-11.688888888888888,9.311111111111112,-2.2888888888888888,0.06666666666666667,-1.511111111111111,-20.91111111111111,0.044444444444444446,-13.844444444444445,-19.377777777777776
2020-09-23 15:40:00,2.4,5.7555555555555555,-15.822222222222223,-11.71111111111111,9.466666666666667,-2.311111111111111,0.044444444444444446,-1.5555555555555556,-21.288888888888888,0.2222222222222222,-13.88888888888889,-19.533333333333335
2020-09-23 15:41:00,2.511111111111111,6.088888888888889,-16.022222222222222,-11.777777777777779,9.6,-2.311111111111111,0.06666666666666667,-1.6222222222222222,-21.644444444444446,0.37777777777777777,-13.88888888888889,-19.644444444444446
2020-09-23 15:42:00,2.6222222222222222,6.4222222222222225,-16.22222222222222,-11.866666666666667,9.755555555555556,-2.3333333333333335,0.044444444444444446,-1.6888888888888889,-22.0,0.5333333333333333,-13.844444444444445,-19.733333333333334
2020-09-23 15:43:00,2.7777777777777777,6.7555555555555555,-16.42222222222222,-11.933333333333334,9.911111111111111,-2.3555555555555556,0.022222222222222223,-1.7333333333333334,-22.31111111111111,0.6444444444444445,-13.777777777777779,-19.822222222222223
2020-09-23 15:44:00,2.911111111111111,7.044444444444444,-16.6,-12.0,10.022222222222222,-2.4,0.0,-1.8,-22.6,0.7777777777777778,-13.666666666666666,-19.91111111111111
2020-09-23 15:45:00,3.066666666666667,7.311111111111111,-16.733333333333334,-12.044444444444444,10.133333333333333,-2.422222222222222,0.0,-1.8666666666666667,-22.866666666666667,0.8888888888888888,-13.533333333333333,-20.0
2020-09-23 15:46:00,3.1777777777777776,7.5777777777777775,-16.91111111111111,-12.133333333333333,10.2,-2.4444444444444446,0.0,-1.9333333333333333,-23.177777777777777,1.0222222222222221,-13.422222222222222,-20.11111111111111
2020-09-23 15:47:00,3.311111111111111,7.822222222222222,-17.11111111111111,-12.222222222222221,10.266666666666667,-2.4444444444444446,0.044444444444444446,-2.022222222222222,-23.511111111111113,1.1555555555555554,-13.333333333333334,-20.266666666666666
2020-09-23 15:48:00,3.488888888888889,8.022222222222222,-17.288888888888888,-12.311111111111112,10.333333333333334,-2.422222222222222,0.08888888888888889,-2.1555555555555554,-23.866666666666667,1.2444444444444445,-13.244444444444444,-20.4
2020-09-23 15:49:00,3.6222222222222222,8.244444444444444,-17.444444444444443,-12.377777777777778,10.377777777777778,-2.4,0.1111111111111111,-2.2666666666666666,-24.177777777777777,1.3333333333333333,-13.155555555555555,-20.488888888888887
2020-09-23 15:50:00,3.7111111111111112,8.466666666666667,-17.57777777777778,-12.444444444444445,10.422222222222222,-2.3555555555555556,0.17777777777777778,-2.3777777777777778,-24.488888888888887,1.4444444444444444,-13.044444444444444,-20.57777777777778
2020-09-23 15:51:00,3.8,8.666666666666666,-17.755555555555556,-12.511111111111111,10.422222222222222,-2.3555555555555556,0.24444444444444444,-2.511111111111111,-24.8,1.6,-12.933333333333334,-20.644444444444446
2020-09-23 15:52:00,3.8666666666666667,8.844444444444445,-17.933333333333334,-12.6,10.4,-2.3333333333333335,0.3111111111111111,-2.6444444444444444,-25.08888888888889,1.7333333333333334,-12.844444444444445,-20.68888888888889
2020-09-23 15:53:00,3.888888888888889,8.977777777777778,-18.133333333333333,-12.688888888888888,10.422222222222222,-2.311111111111111,0.37777777777777777,-2.7333333333333334,-25.4,1.8444444444444446,-12.755555555555556,-20.733333333333334
2020-09-23 15:54:00,3.911111111111111,9.11111111111111,-18.288888888888888,-12.8,10.4,-2.3333333333333335,0.4222222222222222,-2.8666666666666667,-25.68888888888889,1.9111111111111112,-12.622222222222222,-20.8
2020-09-23 15:55:00,3.9555555555555557,9.244444444444444,-18.444444444444443,-12.88888888888889,10.377777777777778,-2.3555555555555556,0.4888888888888889,-3.0,-25.955555555555556,1.9333333333333333,-12.511111111111111,-20.88888888888889
2020-09-23 15:56:00,4.0,9.355555555555556,-18.622222222222224,-13.0,10.355555555555556,-2.3555555555555556,0.5555555555555556,-3.1555555555555554,-26.266666666666666,1.9333333333333333,-12.422222222222222,-20.933333333333334
2020-09-23 15:57:00,4.044444444444444,9.444444444444445,-18.77777777777778,-13.11111111111111,10.355555555555556,-2.3777777777777778,0.6222222222222222,-3.3555555555555556,-26.555555555555557,1.9555555555555555,-12.355555555555556,-21.022222222222222
2020-09-23 15:58:00,4.088888888888889,9.533333333333333,-18.955555555555556,-13.2,10.377777777777778,-2.3777777777777778,0.6888888888888889,-3.533333333333333,-26.866666666666667,2.0,-12.28888888888889,-21.133333333333333
2020-09-23 15:59:00,4.111111111111111,9.6,-19.08888888888889,-13.28888888888889,10.377777777777778,-2.4,0.7111111111111111,-3.7111111111111112,-27.177777777777777,2.022222222222222,-12.222222222222221,-21.266666666666666
2020-09-23 16:00:00,4.133333333333334,9.71111111111111,-19.244444444444444,-13.333333333333334,10.4,-2.4,0.7333333333333333,-3.8444444444444446,-27.488888888888887,2.022222222222222,-12.155555555555555,-21.355555555555554
2020-09-23 16:01:00,4.133333333333334,9.8,-19.4,-13.355555555555556,10.422222222222222,-2.4,0.7333333333333333,-4.0,-27.77777777777778,2.022222222222222,-12.066666666666666,-21.488888888888887
